Num;Nombre Producto;Categoría;Precio;Descripción y Especificaciones;Disponibilidad;Garantía;Políticas de Devolución;Enlace Web;ID Producto;SKU;EAN;Marca;Categoría Normalizada;Subcategoría;Tipo Producto;Es Producto Principal;Precio USD;Fuente;Fecha Consulta;Texto Búsqueda;Calidad Dato
72;"Combo de cerraduras ""Pomo tubular"", 3 cerraduras de dormitorios + 1 baño, incluye tornillería - TRAVEX";DECORACION Y ACABADOS;23,95;"Combo de cerraduras ""Pomo tubular"", 3 cerraduras de dormitorios + 1 baño, incluye tornillería. Renueva la seguridad y funcionalidad de tu hogar con este práctico combo de cerraduras de pomo tubular en elegante color plateado. Incluye 3 cerraduras para dormitorios y 1 cerradura para baño, ideales para equipar varias habitaciones con un diseño moderno y uniforme. Cada cerradura incorpora la tornillería necesaria para una instalación sencilla, además de sus respectivas llaves para mayor comodidad y protección. Resistentes, duraderas y fáciles de usar. Ⓘ Imágenes referenciales. Medidas del producto (Alt+Anch+Prof): 26,5 x 41,5 x 6 cm TRAVEX
Especificaciones: Tipo de embalaje: Blister; Referencia del Producto: L25284; Superficies de aplicacion: Puertas; Lugar de uso: Exterior - Interior; Incluye: Accesorios - Tornillería; Tipo De Cerradura: Pomo tubular; Tipo De Acceso: Llaves - Mariposa; Diseño / Estilo: Combo de cerraduras; Pais de Origen: China; Textura De Superficie: Lisa; Lado De Apertura: Derecha - Izquierda; Numero de piezas: 3+";Disponible en línea;SI;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/combo-de-cerraduras-pomo-tubular-3-cerraduras-de-dormitorios-1-bano-incluye-tornilleria-travex/p;88236;87756;2000516000127;TRAVEX;DECORACION Y ACABADOS;CERRADURAS;Cerradura;Sí;23.95;API pública Kywi;2026-07-12;combo de cerraduras pomo tubular 3 cerraduras de dormitorios 1 bano incluye tornilleria travex travex decoracion y acabados decoracion y acabados cerraduras cerradura combo de cerraduras pomo tubular 3 cerraduras de dormitorios 1 bano incluye tornilleria renueva la seguridad y funcionalidad de tu hogar con este practico combo de cerraduras de pomo tubular en elegante color plateado incluye 3 cerraduras para dormitorios y 1 cerradura para bano ideales para equipar varias habitaciones con un diseno moderno y uniforme cada cerradura incorpora la tornilleria necesaria para una instalacion sencilla ademas de sus respectivas llaves para mayor comodidad y proteccion resistentes duraderas y faciles de usar imagenes referenciales medidas del producto alt anch prof 26 5 x 41 5 x 6 cm travex especificaciones tipo de embalaje blister referencia del producto l25284 superficies de aplicacion puertas lugar de uso exterior interior incluye accesorios tornilleria tipo de cerradura pomo tubular tipo de acceso llaves mariposa diseno estilo combo de cerraduras pais de origen china textura de superficie lisa lado de apertura derecha izquierda numero de piezas 3 domestico residencial metal plateado;Completo
73;Diafragma de silicona anti-olor para rejilla de 50 mm - YETKA;DECORACION Y ACABADOS;2,23;Estamos trabajando para proporcionarte mayor información del producto;Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/diafragma-de-silicona-anti-olor-para-rejilla-de-50-mm-yetka/p;13530;14090;;YETKA;DECORACION Y ACABADOS;ACCESORIOS DE BANO;Silicona;Sí;2.23;API pública Kywi;2026-07-12;diafragma de silicona anti olor para rejilla de 50 mm yetka yetka decoracion y acabados decoracion y acabados accesorios de bano silicona estamos trabajando para proporcionarte mayor informacion del producto;Completo
74;Dicroico Led Mr16 7 watts luz amarilla - BLITZ;DECORACION Y ACABADOS;1,99;Dicróico blanco tipo LED con anclaje tipo GU5.3 para interiores de luz amarilla (cálida) no atenuable. Características: su potencia es de 7 W y trabaja con un voltaje de 100 a 240 Voltios. Temperatura de color: 3000 K y su vida útil es de 15.000 horas. Pack x 1 unidad. Medidas del empaque: 5.2 x 5.7 x 5.2 cm. Peso: 0.02 kg. BLITZ;Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/dicroico-led-mr16-7-watts-luz-amarilla-blitz/p;13557;14117;;BLITZ;DECORACION Y ACABADOS;DICROICOS LED;Dicroicos Led;Sí;1.99;API pública Kywi;2026-07-12;dicroico led mr16 7 watts luz amarilla blitz blitz decoracion y acabados decoracion y acabados dicroicos led dicroicos led dicroico blanco tipo led con anclaje tipo gu5 3 para interiores de luz amarilla calida no atenuable caracteristicas su potencia es de 7 w y trabaja con un voltaje de 100 a 240 voltios temperatura de color 3000 k y su vida util es de 15 000 horas pack x 1 unidad medidas del empaque 5 2 x 5 7 x 5 2 cm peso 0 02 kg blitz;Completo
75;Dispensador DOBLE para jabón, color blanco, capacidad de 400 ml, incluye tornillería. - WRT;DECORACION Y ACABADOS;14,06;"Dispensador DOBLE para jabón, color blanco, capacidad de 400 ml, incluye tornillería. Dispensador doble para jabón en elegante color blanco, ideal para optimizar el uso y la higiene en baños y cocinas, con una capacidad total de 400 ml que permite un suministro práctico y continuo; su diseño funcional y moderno se adapta a cualquier espacio, es fácil de instalar e incluye tornillería para una fijación segura y duradera. Ⓘ Imágenes referenciales. Medidas del producto (Alt+Anch+Prof): 17,5 x 15,8 x 8 cm WRT
Especificaciones: Tipo de embalaje: Caja; Superficies de aplicacion: Jabón; Lugar de uso: Interior; Incluye: Tornillería; Forma: Cilindro; Diseño / Estilo: Dispensador doble; Pais de Origen: China; Volumen / Contenido: 400 ml; Numero de piezas: 3+; Tipo De Fijacion: Tornillería";Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/disp-doble-jabon-bl-400ml-yg-162-941689/p;50312;49866;10840101546673;WRT;DECORACION Y ACABADOS;ACCESORIOS DE BANO;Accesorios De Bano;No;14.06;API pública Kywi;2026-07-12;dispensador doble para jabon color blanco capacidad de 400 ml incluye tornilleria wrt wrt decoracion y acabados decoracion y acabados accesorios de bano accesorios de bano dispensador doble para jabon color blanco capacidad de 400 ml incluye tornilleria dispensador doble para jabon en elegante color blanco ideal para optimizar el uso y la higiene en banos y cocinas con una capacidad total de 400 ml que permite un suministro practico y continuo su diseno funcional y moderno se adapta a cualquier espacio es facil de instalar e incluye tornilleria para una fijacion segura y duradera imagenes referenciales medidas del producto alt anch prof 17 5 x 15 8 x 8 cm wrt especificaciones tipo de embalaje caja superficies de aplicacion jabon lugar de uso interior incluye tornilleria forma cilindro diseno estilo dispensador doble pais de origen china volumen contenido 400 ml numero de piezas 3 tipo de fijacion tornilleria domestico comercial institucional plastico blanco;Completo
76;Ducha eléctrica Bello Banho Ultra con brazo, 220 Voltios, 4600 Watts - LORENZETTI;DECORACION Y ACABADOS;22,91;Ducha eléctrica blanca Ducha eléctrica Bello Banho Ultra blanca. 220 V. 4600 W. Lorenzetti. LORENZETTI;Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/ducha-electrica-bello-banho-ultra-con-brazo-220-voltios-4600-watts-lorenzetti/p;3420;3911;;LORENZETTI;DECORACION Y ACABADOS;DUCHAS ELECTRICAS;Duchas Electricas;Sí;22.91;API pública Kywi;2026-07-12;ducha electrica bello banho ultra con brazo 220 voltios 4600 watts lorenzetti lorenzetti decoracion y acabados decoracion y acabados duchas electricas duchas electricas ducha electrica blanca ducha electrica bello banho ultra blanca 220 v 4600 w lorenzetti lorenzetti;Completo
77;Ducha eléctrica blanca con 3 niveles de temperatura y 5000 W de potencia - K HOME;DECORACION Y ACABADOS;11,99;"Ducha eléctrica blanca con 3 niveles de temperatura y 5000 W de potencia. Ofrece un rendimiento eficiente para un baño placentero. Su diseño compacto y moderno se adapta a cualquier cuarto de baño. Cuenta con tres niveles de temperatura ajustables, permitiéndote seleccionar el calor ideal para cada momento. Fabricada con materiales de alta calidad, asegura durabilidad y seguridad en su uso diario. Ⓘ Imágenes referenciales. Medidas del producto (Alt+Anch+Prof): 14,5 x 13 x 13 cm K HOME
Especificaciones: Tipo de embalaje: Blister; Referencia del Producto: A01-WHITE; Superficies de aplicacion: Ducha; Lugar de uso: Interior; Incluye: Manguera; Tipo de Alimentacion: Eléctrica; Forma: Redondo; Diseño / Estilo: Redonda; Pais de Origen: China; Conexion De Red De Agua: SI; Conexion A Red Electrica: SI; Voltaje: 110 V; Numero de piezas: 2; Tipo De Fijacion: Rosca - Tubería";Disponible en línea;SI;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/ducha-electrica-blanca-con-3-niveles-de-temperatura-y-5000-w-de-potencia-k-home/p;50571;50125;197639202933;K HOME;DECORACION Y ACABADOS;DUCHAS ELECTRICAS;Duchas Electricas;Sí;11.99;API pública Kywi;2026-07-12;ducha electrica blanca con 3 niveles de temperatura y 5000 w de potencia k home k home decoracion y acabados decoracion y acabados duchas electricas duchas electricas ducha electrica blanca con 3 niveles de temperatura y 5000 w de potencia ofrece un rendimiento eficiente para un bano placentero su diseno compacto y moderno se adapta a cualquier cuarto de bano cuenta con tres niveles de temperatura ajustables permitiendote seleccionar el calor ideal para cada momento fabricada con materiales de alta calidad asegura durabilidad y seguridad en su uso diario imagenes referenciales medidas del producto alt anch prof 14 5 x 13 x 13 cm k home especificaciones tipo de embalaje blister referencia del producto a01 white superficies de aplicacion ducha lugar de uso interior incluye manguera tipo de alimentacion electrica forma redondo diseno estilo redonda pais de origen china conexion de red de agua si conexion a red electrica si voltaje 110 v numero de piezas 2 tipo de fijacion rosca tuberia domestico plastico componentes electricos blanco;Completo
78;Ducha eléctrica blanca con 5000 W de potencia y 4 niveles de temperatura - K HOME;DECORACION Y ACABADOS;15,90;"Ducha eléctrica blanca con 5000 W de potencia y 4 niveles de temperatura. Disfruta de duchas cómodas y seguras con esta ducha eléctrica de diseño moderno en color blanco, equipada con manguera flexible y 4 niveles de temperatura para adaptarse a tus necesidades en cualquier momento. Su potente rendimiento de 5000W y funcionamiento a 110V/60Hz garantizan un calentamiento rápido y eficiente del agua, brindándote confort inmediato en tu hogar. Ⓘ Imágenes referenciales. Medidas del producto (Alt+Anch+Prof): 9,5 x 16,5 x 16,5 cm K HOME
Especificaciones: Tipo de embalaje: Blister; Referencia del Producto: A08-WHITE; Superficies de aplicacion: Ducha; Lugar de uso: Interior; Incluye: Manguera; Tipo de Alimentacion: Eléctrica; Forma: Redondo; Diseño / Estilo: Redonda; Pais de Origen: China; Conexion De Red De Agua: SI; Conexion A Red Electrica: SI; Voltaje: 110 V; Numero de piezas: 2; Diametro: 16.5 cm; Tipo De Fijacion: Rosca - Tubería";Disponible en línea;SI;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/ducha-electrica-blanca-con-5000-w-de-potencia-y-4-niveles-de-temperatura-k-home/p;50572;50126;197639202926;K HOME;DECORACION Y ACABADOS;DUCHAS ELECTRICAS;Duchas Electricas;Sí;15.9;API pública Kywi;2026-07-12;ducha electrica blanca con 5000 w de potencia y 4 niveles de temperatura k home k home decoracion y acabados decoracion y acabados duchas electricas duchas electricas ducha electrica blanca con 5000 w de potencia y 4 niveles de temperatura disfruta de duchas comodas y seguras con esta ducha electrica de diseno moderno en color blanco equipada con manguera flexible y 4 niveles de temperatura para adaptarse a tus necesidades en cualquier momento su potente rendimiento de 5000w y funcionamiento a 110v 60hz garantizan un calentamiento rapido y eficiente del agua brindandote confort inmediato en tu hogar imagenes referenciales medidas del producto alt anch prof 9 5 x 16 5 x 16 5 cm k home especificaciones tipo de embalaje blister referencia del producto a08 white superficies de aplicacion ducha lugar de uso interior incluye manguera tipo de alimentacion electrica forma redondo diseno estilo redonda pais de origen china conexion de red de agua si conexion a red electrica si voltaje 110 v numero de piezas 2 diametro 16 5 cm tipo de fijacion rosca tuberia domestico plastico componentes electricos blanco;Completo
79;Ducha electrónica tipo jet de 110/127V - 5500 W y mini ducha de mano - LORENZETTI;DECORACION Y ACABADOS;37,12;Ducha electrónica blanca Ducha eléctrica Top Jet. Con regulación electrónica de temperatura. 55000 W. 4 temperaturas. Con mini ducha. 110 V. Lorenzetti. LORENZETTI;Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/ducha-electronica-tipo-jet-de-110-127v-5500-w-y-mini-ducha-de-mano/p;3419;3909;7896451870469;LORENZETTI;DECORACION Y ACABADOS;DUCHAS ELECTRICAS;Duchas Electricas;Sí;37.12;API pública Kywi;2026-07-12;ducha electronica tipo jet de 110 127v 5500 w y mini ducha de mano lorenzetti lorenzetti decoracion y acabados decoracion y acabados duchas electricas duchas electricas ducha electronica blanca ducha electrica top jet con regulacion electronica de temperatura 55000 w 4 temperaturas con mini ducha 110 v lorenzetti lorenzetti;Completo
80;"Empaste monocomponente de acabado extra liso para exteriores; 20 kg - INTACO";DECORACION Y ACABADOS;23,00;Empaste blanco Empaste cementicio monocomponente de acabado extra liso y blanco extremo para exteriores. INTACO;Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/empaste-monocomponente-de-acabado-extra-liso-para-exteriores-20-kg/p;3281;3752;7861158604631;INTACO;DECORACION Y ACABADOS;REPARADORES DE PINTURA;Reparadores De Pintura;Sí;23.0;API pública Kywi;2026-07-12;empaste monocomponente de acabado extra liso para exteriores 20 kg intaco intaco decoracion y acabados decoracion y acabados reparadores de pintura reparadores de pintura empaste blanco empaste cementicio monocomponente de acabado extra liso y blanco extremo para exteriores intaco;Completo
81;"Empaste monocomponente de acabado extra liso para interiores; 20 kg - INTACO";DECORACION Y ACABADOS;10,45;Empaste blanco Empaste cementicio monocomponente de acabado extra liso y blanco extremo para interiores. INTACO;Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/empaste-monocomponente-de-acabado-extra-liso-para-interiores-20-kg/p;3280;3751;7861158604648;INTACO;DECORACION Y ACABADOS;REPARADORES DE PINTURA;Reparadores De Pintura;Sí;10.45;API pública Kywi;2026-07-12;empaste monocomponente de acabado extra liso para interiores 20 kg intaco intaco decoracion y acabados decoracion y acabados reparadores de pintura reparadores de pintura empaste blanco empaste cementicio monocomponente de acabado extra liso y blanco extremo para interiores intaco;Completo
82;Extension Aluminio 2.40-4.80Mt - MINTCRAFT;DECORACION Y ACABADOS;23,78;Extensión plateada TELESCÓPICA de aluminio con cabezal roscable estándar. MEDIDAS: PLEGADO: 2.4 metros, EXTENDIDO: 4.8 metros. Medidas del empaque: 3 x 240 x 3 cm. Peso: 1.15 kg. MINTCRAFT;Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/extension-aluminio-2-40-4-80mt/p;14720;15280;45734991729;MINTCRAFT;DECORACION Y ACABADOS;HERRAMIENTAS PARA PINTAR;Herramientas Para Pintar;Sí;23.78;API pública Kywi;2026-07-12;extension aluminio 2 40 4 80mt mintcraft mintcraft decoracion y acabados decoracion y acabados herramientas para pintar herramientas para pintar extension plateada telescopica de aluminio con cabezal roscable estandar medidas plegado 2 4 metros extendido 4 8 metros medidas del empaque 3 x 240 x 3 cm peso 1 15 kg mintcraft;Completo
83;"Extractor industrial de 16"" para pared. - BROAN";DECORACION Y ACABADOS;115,51;"Extractor industrial de 16"" para pared. Diseñado para ofrecer un flujo de aire de 3600 m³/h con bajo nivel de ruido de solo 54 dB, ideal para mantener tus espacios ventilados de manera eficiente y silenciosa. Con una potencia de 180 W y funcionamiento a 110 V, garantiza rendimiento confiable en entornos exigentes. Su robusta estructura incluye un conducto de 45 cm de diámetro y una cubierta compacta de 47.5 x 47.5 x 24 cm, lo que facilita su instalación. Una solución potente y duradera para asegurar aire fresco en áreas industriales, talleres, bodegas o cocinas profesionales. Medidas del producto (Alt+Anch+Prof): 47,5 x 47,5 x 24 cm BROAN
Especificaciones: Tipo de embalaje: Caja; Superficies de aplicacion: Pared; Lugar de uso: Interior; Incluye: Manual - Accesorios; Tipo de Alimentacion: Eléctrica; Inalambrico: NO; Forma: Cuadrado; Diseño / Estilo: Industrial; Pais de Origen: China; Conexion A Red Electrica: Si; Voltaje: 110V; Flujo De Aire Maximo: 3600 m³/h; Bateria: NO; Potencia: 180W; Numero de piezas: 6; Tipo De Fijacion: Tornillería";Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/extractor-broan-d-pared-industrial-16plg/p;14797;15357;6970517720040;BROAN;DECORACION Y ACABADOS;EXTRACTORES DE BANO;Extractores De Bano;Sí;115.51;API pública Kywi;2026-07-12;extractor industrial de 16 para pared broan broan decoracion y acabados decoracion y acabados extractores de bano extractores de bano extractor industrial de 16 para pared disenado para ofrecer un flujo de aire de 3600 m h con bajo nivel de ruido de solo 54 db ideal para mantener tus espacios ventilados de manera eficiente y silenciosa con una potencia de 180 w y funcionamiento a 110 v garantiza rendimiento confiable en entornos exigentes su robusta estructura incluye un conducto de 45 cm de diametro y una cubierta compacta de 47 5 x 47 5 x 24 cm lo que facilita su instalacion una solucion potente y duradera para asegurar aire fresco en areas industriales talleres bodegas o cocinas profesionales medidas del producto alt anch prof 47 5 x 47 5 x 24 cm broan especificaciones tipo de embalaje caja superficies de aplicacion pared lugar de uso interior incluye manual accesorios tipo de alimentacion electrica inalambrico no forma cuadrado diseno estilo industrial pais de origen china conexion a red electrica si voltaje 110v flujo de aire maximo 3600 m h bateria no potencia 180w numero de piezas 6 tipo de fijacion tornilleria industrial profesional metal negro;Completo
84;Farol LED de bambú color natural, funciona con pilas AA (no incluída). - BLITZ;DECORACION Y ACABADOS;10,99;"Farol LED de bambú color natural, funciona con pilas AA (no incluída). Ilumina tus espacios con estilo natural. Su diseño moderno y acogedor crea una atmósfera cálida, ideal para interiores o exteriores. Funciona con pilas AA (no incluidas), lo que lo hace práctico y portátil para decorar mesas, terrazas o cualquier rincón de tu hogar. Medidas del producto (Alt+Anch+Prof): 17 x 12,5 x 12,5 cm BLITZ
Especificaciones: Tipo de embalaje: Caja | Caja; Superficies de aplicacion: Multisuperficie | Multisuperficie; Lugar de uso: Interior - Exterior | Interior - Exterior; Tipo de Alimentacion: 3 Pilas AA | 3 Pilas AA; Inalambrico: SI | SI; Temperatura De Color: 3000 K | 3000 K; Diseño / Estilo: Farol Bambú | Farol Bambú; Pais de Origen: China | China; Led Integrado: Si | Si; Voltaje: 4.5V | 4.5V; Potencia: 0.06W | 0.06W; Numero de piezas: 1 | 1";Disponible en línea;Si | Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/farol-led-de-bambu-color-natural-funciona-con-pilas-aa-no-incluida-blitz/p;52745;52299;197639138829;BLITZ;DECORACION Y ACABADOS;LAMPARAS DECORATIVAS;Lamparas Decorativas;Sí;10.99;API pública Kywi;2026-07-12;farol led de bambu color natural funciona con pilas aa no incluida blitz blitz decoracion y acabados decoracion y acabados lamparas decorativas lamparas decorativas farol led de bambu color natural funciona con pilas aa no incluida ilumina tus espacios con estilo natural su diseno moderno y acogedor crea una atmosfera calida ideal para interiores o exteriores funciona con pilas aa no incluidas lo que lo hace practico y portatil para decorar mesas terrazas o cualquier rincon de tu hogar medidas del producto alt anch prof 17 x 12 5 x 12 5 cm blitz especificaciones tipo de embalaje caja caja superficies de aplicacion multisuperficie multisuperficie lugar de uso interior exterior interior exterior tipo de alimentacion 3 pilas aa 3 pilas aa inalambrico si si temperatura de color 3000 k 3000 k diseno estilo farol bambu farol bambu pais de origen china china led integrado si si voltaje 4 5v 4 5v potencia 0 06w 0 06w numero de piezas 1 1 domestico comercial domestico comercial bambu plastico bambu plastico natural natural;Completo
85;Foco LED de 30W recargable para emergencias. - BLITZ;DECORACION Y ACABADOS;5,49;"Foco LED de 30W recargable para emergencias. Ideal para emergencias y actividades al aire libre. Con 30W de potencia, 1500 mAh de capacidad y 2700 lm de luminosidad, ilumina incluso los entornos más oscuros. Su temperatura de color de 6500 K ofrece una luz clara y brillante. Fabricado en ABS de alta calidad, es resistente y duradero. Incluye un práctico gancho para colgarlo, perfecto para camping, senderismo, pesca, jardines o el hogar. Con tres niveles de intensidad (alto, medio e intermitente) y un tiempo de carga de 6-8 horas, es el compañero perfecto para tus aventuras. Medidas del producto (Alt+Anch+Prof): 16,5 x 9,2 x 9,2 cm BLITZ
Especificaciones: Tipo de embalaje: Caja; Superficies de aplicacion: Multisuperficie; Lugar de uso: Exterior; Incluye: Cargador; Tipo de Alimentacion: Batería; Inalambrico: SI; Temperatura De Color: 6500 K; Dimerizable: No; Diseño / Estilo: Colgante; Pais de Origen: China; Led Integrado: Si; Flujo Luminoso: 2700 lm; Amperaje: 1500 mAh; Bateria: SI; Potencia: 30W; Largo de cable: 24 cm; Numero de piezas: 2";Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/foco-led-dc-emergencia-30w-6500k-inccab-511075/p;53685;53239;7862118029358;BLITZ;DECORACION Y ACABADOS;FOCOS Y TUBOS LED;Foco;Sí;5.49;API pública Kywi;2026-07-12;foco led de 30w recargable para emergencias blitz blitz decoracion y acabados decoracion y acabados focos y tubos led foco foco led de 30w recargable para emergencias ideal para emergencias y actividades al aire libre con 30w de potencia 1500 mah de capacidad y 2700 lm de luminosidad ilumina incluso los entornos mas oscuros su temperatura de color de 6500 k ofrece una luz clara y brillante fabricado en abs de alta calidad es resistente y duradero incluye un practico gancho para colgarlo perfecto para camping senderismo pesca jardines o el hogar con tres niveles de intensidad alto medio e intermitente y un tiempo de carga de 6 8 horas es el companero perfecto para tus aventuras medidas del producto alt anch prof 16 5 x 9 2 x 9 2 cm blitz especificaciones tipo de embalaje caja superficies de aplicacion multisuperficie lugar de uso exterior incluye cargador tipo de alimentacion bateria inalambrico si temperatura de color 6500 k dimerizable no diseno estilo colgante pais de origen china led integrado si flujo luminoso 2700 lm amperaje 1500 mah bateria si potencia 30w largo de cable 24 cm numero de piezas 2 deportes domestico abs blanco;Completo
86;Foco LED inteligente WiFi RGB + Luz Blanca y Luz Amarilla atenuable de 9W con base E26/E27 - NEXXT;DECORACION Y ACABADOS;9,58;"Foco LED inteligente WiFi RGB + Luz Blanca y Luz Amarilla atenuable de 9W con base E26/E27. Crea ambientes personalizados con esta bombilla LED multicolor que permite elegir entre 16 millones de colores y diferentes tonos de blanco, desde cálido hasta frío. Con una potencia de 9W y 800 lúmenes, es ideal para iluminar habitaciones, salas o cocinas de forma uniforme. A través de la aplicación Nexxt Home, puedes regular la intensidad del brillo, programar horarios de encendido/apagado automáticos y configurar escenas temáticas. No requiere concentrador (hub) para su funcionamiento y es totalmente compatible con comandos de voz mediante Amazon Alexa, Google Assistant y Siri. Además, permite el acceso compartido para que toda la familia controle la iluminación desde sus dispositivos móviles. Medidas del producto (Alt+Anch+Prof): 10,5 x 5,9 x 5,9 cm NEXXT
Especificaciones: Tipo de embalaje: Caja; Referencia del Producto: NHB-C110; Resistencia UV: SI; Superficies de aplicacion: Techos - Decoración - Ambientación; Lugar de uso: Interior; Tipo de Alimentacion: Eléctrica; Normas de calidad: FCC; Tipo De Boquilla: E27; Temperatura De Color: RGB 2700K - 6500K; Dimerizable: SI; Diseño / Estilo: Bombillo; Vida Util: 10000 h; Pais de Origen: China; Consumo Energetico: A+; Led Integrado: SI; Voltaje: 110V; Flujo Luminoso: 800 lm; Potencia: 9W";Disponible en línea;SI;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/foco-led-smart-wifi-9w-rgb-nexxt-458970-1/p;53725;53279;798303057899;NEXXT;DECORACION Y ACABADOS;FOCOS Y TUBOS LED;Foco;Sí;9.58;API pública Kywi;2026-07-12;foco led inteligente wifi rgb luz blanca y luz amarilla atenuable de 9w con base e26 e27 nexxt nexxt decoracion y acabados decoracion y acabados focos y tubos led foco foco led inteligente wifi rgb luz blanca y luz amarilla atenuable de 9w con base e26 e27 crea ambientes personalizados con esta bombilla led multicolor que permite elegir entre 16 millones de colores y diferentes tonos de blanco desde calido hasta frio con una potencia de 9w y 800 lumenes es ideal para iluminar habitaciones salas o cocinas de forma uniforme a traves de la aplicacion nexxt home puedes regular la intensidad del brillo programar horarios de encendido apagado automaticos y configurar escenas tematicas no requiere concentrador hub para su funcionamiento y es totalmente compatible con comandos de voz mediante amazon alexa google assistant y siri ademas permite el acceso compartido para que toda la familia controle la iluminacion desde sus dispositivos moviles medidas del producto alt anch prof 10 5 x 5 9 x 5 9 cm nexxt especificaciones tipo de embalaje caja referencia del producto nhb c110 resistencia uv si superficies de aplicacion techos decoracion ambientacion lugar de uso interior tipo de alimentacion electrica normas de calidad fcc tipo de boquilla e27 temperatura de color rgb 2700k 6500k dimerizable si diseno estilo bombillo vida util 10000 h pais de origen china consumo energetico a led integrado si voltaje 110v flujo luminoso 800 lm potencia 9w domestico comercial profesional plastico blanco;Completo
